time,FD FAN A  DISCHARGE PRESSURE_PI_06102_1,FD FAN B  DISCHARGE PRESSURE_PI_06102_2,FD FAN A COMPENSATED AIR FLOW_TOT_AIR_FL,COAL FEEDER SPEED MILL A_FIQC_03305_A_FB,COAL FEEDER SPEED MILL B_FIQC_03305_B_FB,COAL FEEDER SPEED MILL C_FIQC_03305_C_FB,COAL FEEDER SPEED MILL D_FIQC_03305_D_FB,COAL FEEDER SPEED MILL E_FIQC_03305_E_FB,MAIN STEAM PRESSURE_PI_02100_S,SEC AIR WINDBOX LEFT PRESSURE_PI_06102_5,SEC AIR PRESSURE AT WINDBOX RIGHT_PI_06102_6,PRIMARY AIR PRES FROM APH_PI_05102_4,SEC AIR O/L PRS AT APH_PI_06102_4,O2 AT ECONOMIZER INLET_QCR_06704
1552562112454,300.952,303.1689,298.88565,5.1496797,6.083405,6.109609,5.447051,0,97.939224,122.513115,95.98721,639.05554,179.14671,2.0535607
1552562172951,305.56888,300.69968,300.32297,5.1467276,6.08125,6.1857166,5.522563,0,97.875084,121.25486,95.23303,627.67004,172.12776,2.113199
1552562232948,301.45068,298.4744,297.71082,5.1491637,6.079177,6.318782,5.649839,0,97.93724,116.524635,94.052864,627.462,175.14871,1.9875747
1552562292946,304.47574,305.5086,298.8956,5.150006,6.0799627,6.3085546,5.634968,0,98.007935,119.6367,93.163895,631.6547,171.48929,1.9387472
1552562352959,305.17902,299.22375,298.62653,5.156745,6.273643,6.277709,5.594768,0,98.0774,122.908035,91.06007,635.48285,172.05818,1.9562656
1552562412941,299.66336,303.62683,298.53394,5.1634855,6.2758017,6.2617087,5.598989,0,98.12051,119.68767,90.317474,630.64905,172.88275,2.0380933
1552562472954,307.08643,301.76,300.72412,5.1505976,6.2824564,6.255907,5.5909534,0,98.25873,125.0085,92.45218,631.7495,175.74545,1.867069
1552562533451,302.1342,300.59424,297.80743,5.147571,6.277275,6.2227626,5.548299,0,98.510994,123.54721,94.50723,630.2304,176.22293,1.7859077
1552562593449,305.443,302.4286,301.4367,5.147864,6.274997,6.1697483,5.509254,0,98.65428,123.0747,92.62197,630.68933,172.67119,1.9317883
1552562653446,303.45078,301.587,297.9908,5.146586,6.2756767,6.160671,5.4639378,0,98.8798,121.72629,91.32404,631.8999,177.87965,1.8990952
